,id,name,synid,ima_status,ima_approved
414,11263,Lodranite meteorite,0,0,0
85,49515,Chondrite meteorite,0,0,0
84,49517,Chondrite-fusion crust meteorite,0,0,0
508,49518,Ungrouped chondrite meteorite,0,0,0
75,49519,Carbonaceous chondrite meteorite,0,0,0
79,49520,C chondrite meteorite,0,0,0
66,49521,C1 chondrite meteorite,0,0,0
502,49522,Ungrouped C1 chondrite meteorite,0,0,0
501,49523,Ungrouped C1/2 chondrite meteorite,0,0,0
67,49524,C2 chondrite meteorite,0,0,0
503,49525,Ungrouped C2 chondrite meteorite,0,0,0
68,49526,C3 chondrite meteorite,0,0,0
506,49527,Ungrouped C3 chondrite meteorite,0,0,0
504,49528,Ungrouped C3.0 chondrite meteorite,0,0,0
505,49529,Ungrouped C3/4 chondrite meteorite,0,0,0
70,49530,C4 chondrite meteorite,0,0,0
71,49531,C4-ung chondrite meteorite,0,0,0
69,49532,C4/5 chondrite meteorite,0,0,0
73,49533,C5 chondrite meteorite,0,0,0
72,49534,C5/6-ung chondrite meteorite,0,0,0
74,49535,C6 chondrite meteorite,0,0,0
78,49536,CB chondrite meteorite,0,0,0
76,49537,CBa chondrite meteorite,0,0,0
77,49538,CBb chondrite meteorite,0,0,0
83,49539,CH chondrite meteorite,0,0,0
80,49540,CH3 chondrite meteorite,0,0,0
88,49541,CI chondrite meteorite,0,0,0
87,49542,CI1 chondrite meteorite,0,0,0
98,49543,CK chondrite meteorite,0,0,0
92,49544,CK3 chondrite meteorite,0,0,0
28,49545,Anomalous CK3 chondrite meteorite,0,0,0
91,49546,CK3.8 chondrite meteorite,0,0,0
89,49547,CK3/4 chondrite meteorite,0,0,0
94,49548,CK4 chondrite meteorite,0,0,0
29,49549,Anomalous CK4 chondrite meteorite,0,0,0
96,49550,CK5 chondrite meteorite,0,0,0
97,49551,CK6 chondrite meteorite,0,0,0
103,49552,CM chondrite meteorite,0,0,0
101,49553,CM1 chondrite meteorite,0,0,0
99,49554,CM1/2 chondrite meteorite,0,0,0
32,49556,Anomalous CM chondrite meteorite,0,0,0
102,49557,CM2 chondrite meteorite,0,0,0
31,49558,Anomalous CM2 chondrite meteorite,0,0,0
116,49559,CO chondrite meteorite,0,0,0
114,49560,CO3 chondrite meteorite,0,0,0
104,49561,CO3.0 chondrite meteorite,0,0,0
105,49562,CO3.1 chondrite meteorite,0,0,0
106,49563,CO3.2 chondrite meteorite,0,0,0
107,49564,CO3.3 chondrite meteorite,0,0,0
108,49565,CO3.4 chondrite meteorite,0,0,0
109,49566,CO3.5 chondrite meteorite,0,0,0
110,49567,CO3.6 chondrite meteorite,0,0,0
111,49568,CO3.7 chondrite meteorite,0,0,0
112,49569,CO3.8 chondrite meteorite,0,0,0
113,49570,CO3.9 chondrite meteorite,0,0,0
121,49571,CR chondrite meteorite,0,0,0
117,49572,CR1 chondrite meteorite,0,0,0
118,49573,CR2 chondrite meteorite,0,0,0
33,49574,Anomalous CR2 chondrite meteorite,0,0,0
119,49575,CR6 chondrite meteorite,0,0,0
120,49576,CR7 chondrite meteorite,0,0,0
126,49577,CV chondrite meteorite,0,0,0
122,49578,CV2 chondrite meteorite,0,0,0
124,49579,CV3 chondrite meteorite,0,0,0
34,49580,Anomalous CV3 chondrite meteorite,0,0,0
448,49581,Ordinary chondrite meteorite,0,0,0
