,id,longid,guid,name,entrytype,entrytype_text,description_short,rock_parent,,rock_parent2,,rock_root,rock_bgs_code,meteoritical_code
122,11263,1:1:11263:9,35dd2df7-822d-4e7b-81e1-09979bed5df7,Lodranite meteorite,7,rock,Lodranites can be described as chondrites that were heated to the point where FeNi and FeS reach an eutectic point. At this point partial melting occurred and some of the metal and silica melt was removed.,49847,,0,,1,,Lodranite
246,48145,1:1:48145:0,17bd43c1-9290-4253-ad79-79f9401941fc,Lunar granophyric granite,7,rock,Fragments of this material have been found in lunar breccias and soils.,48144,,49507,,0,,
87,49091,1:1:49091:7,ba03f8db-aeec-4351-881f-d3fbd9bbb25b,Shock lithified impact regolith,7,rock,Consolidated clastic impact debris.,49089,,49509,,1,,
207,49093,1:1:49093:5,c9454039-61a9-4b87-8695-a773c19db230,Martian basaltic breccia,7,rock,"Known from meteoriet NWA7034, it is a volcanic breccia with a porphyritic appearance.",49092,,49938,,0,,
32,49505,1:1:49505:5,8ad74667-db1e-4500-a3c0-708c6d7fbe30,Lunar igneous rock,7,rock,Primary lunar igneous rocks.,49504,,0,,1,,
135,49506,1:1:49506:4,4b9353b0-c3ef-409a-a910-b492badb8ca5,Mare basalt,7,rock,Basalt from the lunar maria.,49505,,0,,1,,
39,49507,1:1:49507:3,4381a645-850a-4ebd-b9c6-bca734ffa0b7,Highland rock,7,rock,"Older, highland lunar rock.",49505,,0,,1,,
219,49508,1:1:49508:2,cf390488-4b29-425e-9cf3-77e997319a3e,Lunar fragmental rock and sediment,7,rock,Lunar rock and soils composed of fragments of older rocks.,49504,,0,,1,,
196,49509,1:1:49509:1,dd48b1a0-dda6-4b2d-ac5e-2b9de6986271,Lunar breccia,7,rock,"Lunar rocks composed of sharp angular fragments of older rocks, often including reworked fragments of previous lunar breccias.",49508,,51453,,1,,
43,49510,1:1:49510:7,5911e187-906a-4c16-924f-4e915f2e468f,Feldspathic breccia,7,rock,A lunar breccia rich in feldspar,49509,,0,,1,,
83,49511,1:1:49511:6,43f4b74b-08b7-4795-9cc2-c077378e19aa,Lunar regolith,7,rock,Lunar soil.,49508,,0,,1,,
7,49512,1:1:49512:5,e587f4ba-7263-474b-96c1-9bf0e9ef55bd,Lunar highland regolith,7,rock,"A lunar soil from the lunar highlands. Commonly contains felspathic breccias, agglutinates, feldspar framents and occasional mare basalt fragments.",49511,,0,,1,,
57,49513,1:1:49513:4,80d4da9a-fa91-4449-a137-dde89187b9fd,Lunar mare regolith,7,rock,A lunar soil from the lunar maria (dark basaltic plains.) Mostly derived from High-Ti basalts.,49511,,0,,1,,
33,49514,1:1:49514:3,d220cc22-dab2-4a82-9d48-5eeec3e65ab2,Meteorite,7,rock,Rock types associated with meteorites and asteroids. Meteorite Mineralogy: An Explicitly Planetological-Planetochemical Perspective,49504,,0,,1,,
192,49515,1:1:49515:2,b6bb2dbe-bab1-48b6-885d-5dca1e3964fa,Chondrite meteorite,7,rock,,49514,,0,,1,,Chondrite-uncl
242,49517,1:1:49517:0,f07b841d-d0ab-4f0a-85a5-b0b0261adac0,Chondrite-fusion crust meteorite,7,rock,A piece of fusion crust that became detatched from a chondrite.,49515,,0,,0,,Chondrite-fusion crust
36,49518,1:1:49518:9,c3f1cbbc-d854-4a6d-8899-3c0165a5b761,Ungrouped chondrite meteorite,7,rock,An ungrouped chondrite.,49515,,0,,0,,Chondrite-ung
230,49519,1:1:49519:8,d60e097d-27cd-449d-8a33-2ec70dbc05ce,Carbonaceous chondrite meteorite,7,rock,Stony (non-metallic) meteorites that have not been modified due to melting or differentiation of the parent body. They include some of the most primitive known meteorites. The C chondrites represent only a small proportion (4.6%) of meteorite falls....,49515,,0,,1,,C
64,49520,1:1:49520:4,073ad083-24ad-4527-a6a8-0c7df1a49b8c,C chondrite meteorite,7,rock,Undifferentiated carbonaceous chondrites.,49519,,0,,1,,C
