,id,longid,guid,name,entrytype,entrytype_text,description_short,rock_parent,rock_parent2,rock_root,rock_bgs_code,meteoritical_code
0,11263,1:1:11263:9,35dd2df7-822d-4e7b-81e1-09979bed5df7,Lodranite meteorite,7,rock,Lodranites can be described as chondrites that were heated to the point where FeNi and FeS reach an eutectic point. At this point partial melting occurred and some of the metal and silica melt was removed.,49847,0,1,,Lodranite
1,49515,1:1:49515:2,b6bb2dbe-bab1-48b6-885d-5dca1e3964fa,Chondrite meteorite,7,rock,,49514,0,1,,Chondrite-uncl
2,49517,1:1:49517:0,f07b841d-d0ab-4f0a-85a5-b0b0261adac0,Chondrite-fusion crust meteorite,7,rock,A piece of fusion crust that became detatched from a chondrite.,49515,0,0,,Chondrite-fusion crust
3,49518,1:1:49518:9,c3f1cbbc-d854-4a6d-8899-3c0165a5b761,Ungrouped chondrite meteorite,7,rock,An ungrouped chondrite.,49515,0,0,,Chondrite-ung
4,49519,1:1:49519:8,d60e097d-27cd-449d-8a33-2ec70dbc05ce,Carbonaceous chondrite meteorite,7,rock,"Stony (non-metallic) meteorites that have not been modified due to melting or differentiation of the parent body.

They include some of the most primitive known meteorites. The C chondrites represent only a small proportion (4.6%) of meteorite falls....",49515,0,1,,C
5,49520,1:1:49520:4,073ad083-24ad-4527-a6a8-0c7df1a49b8c,C chondrite meteorite,7,rock,Undifferentiated carbonaceous chondrites.,49519,0,1,,C
6,49522,1:1:49522:2,60efc36c-1f8f-428f-a3af-cdcb1c2c65ef,Ungrouped C1 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 1, ungrouped.",49521,0,0,,C1-ung
7,49523,1:1:49523:1,1f3cde5b-63a9-4e9d-9108-3e9752b411a9,Ungrouped C1/2 chondrite meteorite,7,rock,"A C chondrite that is transitional between petrologic type 1 and 2, ungrouped",49521,49524,0,,C1/2-ung
8,49524,1:1:49524:0,9bdadcd8-6d6f-4a0a-9135-a2ae1ff68d11,C2 chondrite meteorite,7,rock,A C chondrite that is petrologic type 2.,49520,49841,1,,C2
9,49525,1:1:49525:9,1937d736-eb64-4ed6-81eb-3c40c8684544,Ungrouped C2 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 2, ungrouped.",49524,0,0,,C2-ung
10,49526,1:1:49526:8,fe891aaa-521a-42d9-b417-4846c0e648e7,C3 chondrite meteorite,7,rock,A C chondrite that is petrologic type 3.,49520,49842,1,,C3
11,49527,1:1:49527:7,4bb6db3b-efe5-446e-a426-122e0f345b8b,Ungrouped C3 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 3, ungrouped.",49526,0,0,,C3-ung
12,49528,1:1:49528:6,22380ef7-023a-4549-bd63-e4dec59424a9,Ungrouped C3.0 chondrite meteorite,7,rock,"A C chondrite that is petrologic type 3.0, ungrouped.",49526,0,0,,C3.0-ung
